startup,title,Location,Founded,Investment,Management,Segment,description,Website,facebook,instagram,linkedin,twitter,xing,youtube
 Contorion, Parts For Pros:  The One-Stop Shop For MRO Parts,Berlin,2014,Seed (Exited in June 2017 to Hoffmann SE),"Dr. Frederick Roehder, Dr. Richard Schwenke, Tobias Tschötsch",Marketplaces & E-commerce,"Contorion is an online store for industrial and trade supply. The extensive assortment covers a wide range of product categories, from screws to electrical and hand tools to work clothes of many renowned manufacturers. With high user-friendliness, a professional customer service and short delivery times Contorion would like to be the one-stop shop for business and private customers. The company was founded by Dr. Frederick Roehder, Dr. Richard Schwenke and Tobias Tschötsch in Berlin in the spring of 2014.",www.contorion.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Coureon, Worldwide Shipping For Merchants,Berlin,2015,Seed,"Federico Frascà, Jochen Michaelis",E-commerce Infrastructure,"Coureon Logistics is a new digital logistics provider for national & international parcel shipping. The Coureon platform combines multiple 3rd party logistics fleets into a unique network. Online merchants, SMEs, and enterprise clients can ship to over 190 destinations and save between 20% and 50% on their shipping costs, without any upfront investment and with just one integration. The company cooperates with over 100 logistics players worldwide. Coureon was founded in 2015 by Federico Frascà in Berlin.",www.coureon.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 CrossEngage, The Customer Engagement Platform for Cross-Channel Marketing and CRM,Berlin,2015,Seed,"Dr. Markus Wübben, Manuel Hinz",Marketing Technology,"CrossEngage combines a real-time customer data platform with cross-channel campaign management. The technology enables customer loyalty and thus increases marketing profitability through personalised, real-time campaigns across all channels. Customers include Deutsche Bahn Vertrieb, HelloFresh, Contorion, BodyChange, Stylefile, Friendsurance and Mycs. In addition to Vorwerk Ventures, Project A, Earlybird Venture Capital, VC Fonds Kreativwirtschaft managed by IBB Beteiligungsgesellschaft, Capnamic Ventures, Ventech, 42 Capital and Cavalry Ventures, the sponsors include numerous business angels who are prominent in the field. The Berlin location currently employs 45 people.",www.crossengage.io,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Dixa, The Customer Friendship Platform,"Copenhagen (Denmark), London (UK)",2015,Series A,"Jacob Vous Petersen, Mads Fosselius",Customer Relations Management Software,"Dixa offers a real-time, channel-neutral and cloud-based customer service platform including phone, chat, e-mail, and Facebook messenger. Dixa’s mission is to end bad customer service and empower customers and businesses to build stronger bonds. In 2018 Dixa was announced EY Entrepreneur of the Year Award for Start-up of the Year in Denmark.",https://dixa.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 ESV Digital Brazil, Digital Marketing Agency and Global Technology Provider,São Paulo (Brazil),2013,Joint Venture,Thyago Acosta,Advertising Technology & Consumer Data,"ESV Digital Brazil employs a team of cross-channel analysts and program managers who use the comprehensive inhouse technology ESV platform to manage clients’ accounts and support technology licensees. It combines tracking, reporting, and bid management in one platform alongside a suite of power-tools such as automated campaign analysis, mass updates, catalogue methodology, raw request. The platform is a tool for any paid search marketer trying to leverage maximum benefit from paid search. Headquartered in Paris, with offices in London, New York, San Francisco, Ann Arbor, Madrid, Milan, Oslo, Bertrange and now São Paulo, ESV Digital Group employees over 200 digital marketing professionals who are working with more than 250 clients.",www.esvdigital.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 evino, Online Shop For Curated Premium Wines,São Paulo (Brazil),2013,Seed,"Ari Gorenstein, Marcos Leal, Olivier Raussin",E-commerce,"Evino is an innovative online wine business, founded in April 2013 by Ari Gorenstein and Marcos Leal in São Paulo, Brazil. Evino enables its Brazilian customers to get to know and to appreciate the culture of wine drinking. In the exclusive online store, customers are offered a broad and weekly changing assortment of premium wines with an excellent value-for-money. Alternating, limited and thematically oriented flash sales offering a variation chosen premium wines.",www.evino.com.br,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Eyeota, Leading Source For 3rd Party Audience Data For Advertisers,"Headquarters: Singapore; offices in Berlin, London, Melbourne, New York, Sydney & Tokyo",2010,Series A,"Kevin Tan, Kristina Prokop, Trent Lloyd, Jill Orr (COO)",Advertising Technology & Consumer Data,"Eyeota is the global leader for audience data with over 3.5 billion unique profiles. Eyeota provides marketers with the data they need to reach the right online audiences and cut campaign waste whilst also enabling publishers to monetise their audiences more widely. In addition, our data delivers deep audience insight to both marketers and online publishers to help them understand their customers in a new way – as human beings. Eyeota supplies third party audience data to all major global and regional ad buying platforms, trading desks, DSPs, DMPs and ad networks. The company was founded in 2010 and has offices in Berlin, London, Melbourne, New York, Singapore, Sydney, and Tokyo.",www.eyeota.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Gabi, Insurance Rate Monitoring Service,San Francisco,2016,Seed,"Hanno Fichtner, Krzysztof Kujawa, Vincenz Klemm and Pawel Olszewski",Insurance Technology,"Gabi is a personal insurance platform that ensures customers always have the right coverage at the best price. Gabi has launched in CA in January 2017 and is backed by A Capital, Project A, SV Angel and a group of angels. It was founded in 2016 by Hanno Fichtner, Krzysztof Kujawa, Vincenz Klemm and Pawel Olszewski.",https://www.gabi.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 HelloPrint, Online Print Platform,Rotterdam (Netherland) / Valencia (Spain),2013,Venture Round,"Hans Scheffer, Michael Heerkens",E-Commerce,"Founded in 2013, Helloprint’s platform business is expanding rapidly into the European market. Currently, over 150.000 customers in the Netherlands, Belgium, France, Italy, United Kingdom, Spain, Germany and Ireland are ordering their printed products via the platform. Via a network of hundreds of international print and promotional producing partners over 2.000 unique printed products are available for its customers, anywhere and when they need it. The company operates from Rotterdam, The Netherlands, where it has its European HQ, and from Valencia, Spain, where the international Customer Experience Center is located.",www.helloprint.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Homeday, Data-Driven Real Estate Divestment,Berlin,2014,Series A,"Steffen Wicker, Dmitri Uvarovski, Philipp Reichle",PropTech,"Selling and buying real estate is getting easy and convenient: Homeday defines the new quality standards in real estate. Homeday combines in-depth market intelligence with daily updated data on market conditions,and pricing; and innovative technologies with professional, personal advice. Homeday experts develop tailor-made marketing strategies that perfectly fit the object and the people behind it. In 2014 Homeday was founded by Steffen Wicker, Dmitri Uvarovski and Philipp Reichle. Today a team of more than 60 employees supports sellers and buyers; from the intention to sell to signing the contract throughout the whole process.",www.homeday.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Horizn Studios, E-Commerce Luggage Brand,Berlin,2015,Seed and Series A,"Stefan Holwe, Jan Hendrik Roosen, Margarete Schellong",Vertically integrated brands,"Horizn Studios is an online-first travel brand headquartered in Berlin. Their team of engineers and designers develops innovative travel products and services for the digital age. From the brand’s iconic range of smart luggage to its innovative travel essentials and services, each product is designed to help you travel with ease and joy. Launched in 2015 by Stefan Holwe and Jan Roosen, Horizn is Europe’s leading luggage brand for the next generation.",horizn-studios.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Intelipost, Logistics Gateway for E-Commerce,"São Paulo, Brazil",2014,Seed,"Stefan Rehm, Gabriel Drummond",SaaS,"Intelipost is a Software as a Service company based in São Paulo, Brazil. With its Logistics Gateway API it connects e-commerce businesses to all main Brazilian logistics providers. In its unique platform, the company integrates the comparison and quotation of various transportation options as well as delivery tracking. Generating insights through automated Business Intelligence solutions Intelipost provides real time updates on freight costs, average delivery times and the overall quality score of the different providers. Thus it enables its customers to manage the entire delivery process and to optimize the logistics costs and efficiency of their operations. Intelipost was founded in March 2014 by CEO Stefan Rehm and Gabriel Drummond.",www.intelipost.com.br,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Keatz, The Virtual Restaurant Chain For Fresh And Healthy Food,Berlin (Germany),2016,Seed,"Paul Gebhardt, Dimitrios Ploutarchos",E-commerce,"Keatz (former GuruCollectiv) is a virtual restaurant chain delivering healthy foods such as salads, quinoa bowls, yogurts, mueslis and cold pressed juices. The company's goal is to become the leading household and office brand for on-demand fast casual delivery food. Keatz exclusively focuses on fresh salads and other ready-to-eat snacks, which are delivered through ecofriendly electric scooters. Keatz was founded in January 2016 by Paul Gebhardt and Dimitrios Ploutarchos.",www.keatz.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 kfzteile24, THE Address For Car Parts And Accessories,Berlin,2001,Later Stage Acceleration,Stephan Rahmede,E-commerce,"kfzteile24 is a Berlin-based multichannel retailer in the field of car parts and accessories which provides car parts for hobbyists and professionals alike. The company generates most of its revenue via their online shops www.kfzteile24.de and www.autoteile24.de. In addition to their online shops, they run three chain stores with attached workshops in Berlin. kfzteile24 was founded in 2001 by Matthias Kieper and Torsten Hainke.",www.kfzteile24.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Klara, The Healthcare Messaging Platform,"New York (US), Berlin (Germany)",2013,Seed,"Simon Bolz, Dr. Simon Lorenz",Digital Health,"Klara was founded in 2013 with the vision to change the broken healthcare experience by directly connecting doctors and patients through technology. Klara’s secure and HIPAA-compliant medical messaging platform allows providers and patients to centralize all their medical communication in one simple and secure app. Doctors and their teams can collaboratively treat and communicate with their patients, adding external providers and other medical partners (such as pharmacies, labs and insurance companies) to the conversation to streamline patient care. Klara has been founded in 2013 by Simon Bolz und Dr. Simon Lorenz with offices in New York and Berlin.",klara.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Kochzauber, Delivered Cooking Boxes With Seasonal Recipes And Fresh Ingredients,Berlin (Germany),2012,Seed,"Hannes Pagel, Christoph Müller",E-commerce,"Kochzauber is a Berlin-based startup with the mission to enable healthy and tasty cooking every day with an innovative, convenient nutrition concept. With its Kochzauber boxes, the company offers varied, healthy recipes with matching, fresh ingredients. The boxes are delivered all over Germany directly to the customer's home. All recipes are developed by nutrition experts, adapted to the customer needs. Furthermore, Kochzauber is leading in offering individual cooking boxes: for example for vegetarians, families, fitness enthusiasts or seasonal events — individual and for everyone’s taste.",www.kochzauber.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 KRY, Doctor's Appointment Via App,Stockholm (Sweden),2014,Seed,"Fredrik Jung Abbou, Johannes Schildt, Sabina Wizander",Digital Health,"KRY is a digital health startup, providing its users a modern care experience by offering a digital healthcare center where patients can meet a doctor via video. The app is developed for patients who need healthcare for medical concerns that do not require a physical examination for diagnosis. KRY is an approved healthcare provider and is therefore subject to the same rules and regulations as all other providers of healthcare in Sweden. KRY was founded in Stockholm 2014 by Fredrik Jung Abbou, Josefin Landgård, Joachim Hedenius and Johannes Schildt.",www.kry.se,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Kyto, Supporting Medium Enterprises In Optimizing Their Online B2B Presence,Berlin (Germany),2013,Seed,Paul Wulff,SaaS,"Kyto is a Software as a Service company, which supports small and medium enterprises in optimizing and increasing their international online B2B presence. The proprietary platform synchronizes entered company and product data with a global network of business directories, market places, and search engines. In this way Kyto allows its customers to generate more leads and sales online in a cost and time efficient way. Kyto is supported by recognized investors and experts, and has established a strong network of international publishing partners, such as Europages, IndustryStock, EC21 and more. Kyto is headquartered in Berlin and was founded in May 2013 by Dr. Martin Mittermeier and Paul Wulff.",www.kyto.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Lampenwelt, Europe's Leading Online Retailer of Lighting Fixtures,Schlitz (Germany),2004,Later Stage Acceleration,"Thomas Rebmann (CEO), Andreas Rebmann (COO), Oliver Merz",E-Commerce,"Headquartered in Schlitz, Germany, Lampenwelt is Europe’s leading online-specialist for lamps and lights, with over 1.5 million customers. Founded in 2004, Lampenwelt employs around 300 staff and offers some 50,000 products to suit all styles and purposes. The goal of the e-Commerce pioneer is to offer every client their dream lighting solution. As well as quality own-brand products, Lampenwelt offers a wide range of lamps and lighting from top brands such as FLOS, Serienlighting, Luceplan, Tecnolumen or Swarovski. Online shops in 14 European countries form the basis of Lampenwelt’s success, underlined by over 100,000 positive customer evaluations on independent evaluation portals. Lampenwelt’s German store is available at www.lampenwelt.de.",www.lampenwelt.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Laserhub, Platform for individual sheet metal parts,Stuttgart,2017,Seed,"Adrian Raidt, Christoph Rößner, Jonas Schweizer",Manufacturing as a Service,"Laserhub has developed a vertically integrated, multi-vendor procurement platform for individual sheet metal parts. The start-up fully automatically links the demands of the customers with the resources of the providers. This reduces both process and parts costs as well as the order and processing time. Orders from the fields of laser cutting, bending / folding and further processing can be implemented via the platform. Laserhub takes care of the entire process: from automatic offer preparation to order placement, implementation, logistics, and billing.",https://www.laserhub.de/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 LIQID, Data-Driven Platform For Private Wealth Management,Berlin (Germany),2015,Seed,Christian Schneider-Sickert,FinTech,"At the core of LIQID is an intuitive digital platform. LIQID combines the competence, instruments and conditions of exclusive family offices, which up until now have been reserved for ultra-high net worth individuals alone, and makes them available to the target group of successful entrepreneurs and wealthy individuals of a new generation. The company’s investment strategies for digital and mobile use were developed together with HQ Trust, the renowned multi-family office of the Harald Quandt Family. The company LIQID Investments GmbH was established in February 2015 by an internationally experienced five-member founding team, which includes media manager and entrepreneur Christian Schneider-Sickert as well as manager and private banker Dr. Kyros Khadjavi.",www.liqid.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Loopline Systems, Lightweight Cloud Solution For Managing Performance Reviews,Berlin (Germany),2014,Series A,"Nora Heer, Christian Kaller",SaaS,"Loopline Systems offers a lightweight SaaS solution which is easy to implement and provides ongoing, actionable insights for executives and employees by linking data on performance with personal potential and contentment. By means of guided processes, loopline fosters individual commitment, enabling high-quality feedback and development. The Berlin-based company was founded in 2014. The founders Nora Heer and Christian Kaller were no strangers to the challenges attached to setting up a top notch performance-development tool for the enterprise market on the organizational and individual level: Combining more than ten years of HR experience with a background in entrepreneurial, technology-driven companies as well as leading corporations. In startups and small companies loopline drives professional maturing of HR, while dynamizing performance development in larger organizations.",www.loopline-systems.com/de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Metrigo, Data-Driven Solutions For Display Advertising Campaigns,Hamburg (Germany),2011,Series A Exited in November 2013 to Zanox,"Tobias Schlottke, Christian Müller, Philip Westermeyer",Advertising Technology & Consumer Data,"Metrigo provides custom-made, innovative and data-driven solutions for direct response driven display advertising campaigns. metrigo’s proprietary Demand Side Platform (DSP) includes Data Management, Real Time Bidding and Ad Serving. It allows its customers to reach quantitative conversion and objectives via display advertising, with a focus on prospecting.",metrigo.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
